19:25:03.737 INFO   - BackgroundStateCurve::begin
19:25:03.737 INFO   - MainWindow::slotViewZoom
19:25:03.738 INFO   - MainWindow::slotViewZoomFactor
19:25:03.738 INFO   - StatusBar::slotZoom zoom=12
19:25:03.738 INFO   - MainWindow::updateSettingsMainWindow
19:25:03.738 INFO   - MainWindow::updateWindowTitle
19:25:03.738 INFO   - MainWindow::updateFittingWindow
19:25:03.738 INFO   - MainWindow::updateGeometryWindow
19:25:03.738 INFO   - MainWindow::setCurrentFile
19:25:03.738 INFO   - MainWindow::updateWindowTitle
19:25:03.842 INFO   - MainWindow::showEvent files=
19:25:25.192 INFO   - MainWindow::slotFileImport
19:25:25.192 INFO   - MainWindow::fileImportWithPrompts importType=0
19:25:28.771 INFO   - MainWindow::fileImport fileName=/home/andrew/projects/ongoing/max_ent_velocity_2/xenon_eff.png curDir=/home/andrew/projects/ongoing/max_ent_velocity_2/veltropy importType=0
19:25:28.771 INFO   - Jpeg2000::load filename=/home/andrew/projects/ongoing/max_ent_velocity_2/xenon_eff.png
19:25:28.786 ERROR  - Jpeg2000::load encountered error creating decoding stream
19:25:28.832 INFO   - MainWindow::loadImage fileName=/home/andrew/projects/ongoing/max_ent_velocity_2/xenon_eff.png importType=0
19:25:28.832 INFO   - MainWindow::loadImageNewDocument fileName=/home/andrew/projects/ongoing/max_ent_velocity_2/xenon_eff.png importType=0
19:25:28.861 INFO   - CoordSystemContext::CoordSystemContext
19:25:28.861 INFO   - Document::Document image=716x465
19:25:28.861 INFO   - CoordSystemContext::addCoordSystems numberToAdd=1
19:25:28.862 INFO   - CoordSystem::CoordSystem
19:25:28.862 INFO   - CmdMediator::CmdMediator image=716x465
19:25:28.862 INFO   - MainWindow::setupAfterLoadNewDocument file=/home/andrew/projects/ongoing/max_ent_velocity_2/xenon_eff.png message=File imported importType=0
19:25:28.862 INFO   - DigitizeStateContext::resetOnLoad
19:25:28.862 INFO   - DocumentModelColorFilter::DocumentModelColorFilter
19:25:28.862 INFO   - BackgroundStateContext::setCurveSelected curve=
19:25:28.862 INFO   - BackgroundStateCurve::setCurveSelected curve=
19:25:28.862 INFO   - BackgroundStateCurve::processImageFromSavedInputs
19:25:28.862 INFO   - BackgroundStateAbstractBase::setProcessedPixmap map=(0x0)
19:25:28.862 INFO   - BackgroundStateNone::setCurveSelected
19:25:28.862 INFO   - BackgroundStateOriginal::setCurveSelected
19:25:28.862 INFO   - BackgroundStateUnloaded::setCurveSelected
19:25:28.862 INFO   - Document::curvesGraphsNames
19:25:28.862 INFO   - CoordSystemContext::curvesGraphsNames
19:25:28.862 INFO   - MainWindow::setPixmap
19:25:28.862 INFO   - DigitizeStateContext::setImageIsLoaded
19:25:28.862 INFO   - DigitizeStateContext::setCursor
19:25:28.862 INFO   - DocumentModelColorFilter::DocumentModelColorFilter
19:25:28.862 INFO   - BackgroundStateContext::setPixmap image=716x465 currentState=BackgroundStateCurve
19:25:28.862 INFO   - BackgroundStateCurve::setPixmap
19:25:28.862 INFO   - BackgroundStateCurve::processImageFromSavedInputs
19:25:28.863 INFO   - DocumentModelColorFilter::high curve=Curve1 curves=Curve1,Axes
19:25:28.863 INFO   - DocumentModelColorFilter::low curve=Curve1 curves=Curve1,Axes
19:25:28.896 INFO   - GridRemoval::remove transformationIsDefined=false removeDefinedGridLines=false
19:25:28.896 INFO   - BackgroundStateAbstractBase::setProcessedPixmap map=(716x465)
19:25:28.896 INFO   - BackgroundStateNone::setPixmap
19:25:28.898 INFO   - BackgroundStateAbstractBase::setProcessedPixmap map=(716x465)
19:25:28.898 INFO   - BackgroundStateOriginal::setPixmap
19:25:28.898 INFO   - BackgroundStateAbstractBase::setProcessedPixmap map=(716x465)
19:25:28.898 INFO   - BackgroundStateUnloaded::setPixmap
